Obs;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2009-01-13T00:00:00.0/2009-01-14T00:00:00.0;11712.377;9481.04;8148.5181;1332.5225;11393.3799;6697.0928;3887.813;2809.2798;4444.7124;0.9847
2009-01-14T00:00:00.0/2009-01-15T00:00:00.0;11701.915;9415.1836;8009.9209;1405.2622;11157.583;6365.9829;2514.1848;3851.7983;3279.2742;0.9851
2009-01-15T00:00:00.0/2009-01-16T00:00:00.0;11690.9512;9486.2021;8207.417;1278.7852;11559.0664;5690.0151;2905.957;2784.0583;3393.4968;0.9854
2009-01-16T00:00:00.0/2009-01-17T00:00:00.0;11679.3652;9535.2139;8561.4971;973.7165;12168.3076;5487.9941;1887.3971;3600.5969;2319.5876;0.9854
2009-01-17T00:00:00.0/2009-01-18T00:00:00.0;11667.2021;9503.9541;8352.4385;1151.5159;11824.6748;4960.1313;2577.7915;2382.3398;3779.6865;0.9858
2009-01-18T00:00:00.0/2009-01-19T00:00:00.0;11654.4727;9503.9463;8322.4424;1181.5039;11691.3848;5057.2046;1170.9888;3886.2158;1848.981;0.9865
2009-01-19T00:00:00.0/2009-01-20T00:00:00.0;11641.1572;9500.2031;8212.876;1287.3274;11527.5518;5792.6494;1745.1301;4047.5195;2081.6921;0.9865
2009-01-20T00:00:00.0/2009-01-21T00:00:00.0;11627.25;9548.4434;8511.5283;1036.9149;12036.8262;7231.231;3076.8804;4154.3506;4054.8337;0.9868
2009-01-21T00:00:00.0/2009-01-22T00:00:00.0;11612.7822;9485.2734;8297.8047;1187.4692;11649.6533;6285.4741;1780.6475;4504.8267;2412.6025;0.9865
2009-01-22T00:00:00.0/2009-01-23T00:00:00.0;11597.6865;9509.2812;8330.3672;1178.9136;11750.5596;6575.1992;2585.2959;3989.9031;3563.4609;0.9872
2009-01-23T00:00:00.0/2009-01-24T00:00:00.0;11581.9736;9431.6943;8310.1416;1121.5518;11629.21;5506.5435;1659.2573;3847.2861;1866.4578;0.9875
2009-01-24T00:00:00.0/2009-01-25T00:00:00.0;11565.6377;9556.7021;8524.832;1031.8706;12122.54;8217.3936;5705.4146;2511.9792;6940.1543;0.9878
2009-01-25T00:00:00.0/2009-01-26T00:00:00.0;11548.7139;9533.668;8741.4248;792.243;12629.2559;7944.0767;4937.5762;3006.5002;6955.915;0.9878
2009-01-26T00:00:00.0/2009-01-27T00:00:00.0;11531.1631;9451.8828;8648.9121;802.9709;12454.2334;7899.6484;4980.4795;2919.1692;6482.2119;0.9885
2009-01-27T00:00:00.0/2009-01-28T00:00:00.0;11512.9736;9414.9912;8579.7832;835.2083;12288.1602;7741.0752;5094.1152;2646.9602;5975.5068;0.9889
2009-01-28T00:00:00.0/2009-01-29T00:00:00.0;11494.1621;9401.0098;8564.2227;836.7876;12312.8574;5348.8071;1700.5504;3648.2568;2188.7446;0.984
2009-01-29T00:00:00.0/2009-01-30T00:00:00.0;11474.7324;9465.3594;8683.4443;781.9152;12431.6426;6302.8481;2782.0474;3520.801;3232.7349;0.9844
2009-01-30T00:00:00.0/2009-01-31T00:00:00.0;11454.6475;9342.5254;8316.0996;1026.425;11694.1133;8942.7012;7441.7007;1501.0004;9928.6318;0.9847
2009-01-31T00:00:00.0/2009-02-01T00:00:00.0;11433.9297;9219.2959;7790.5254;1428.7708;10843.6309;6106.8843;2589.6028;3517.2817;3508.5864;0.9802
2009-02-01T00:00:00.0/2009-02-02T00:00:00.0;11412.5801;9424.8213;8557.7676;867.0538;12242.5752;7117.8906;3516.4624;3601.4282;4799.6294;0.975
2009-02-02T00:00:00.0/2009-02-03T00:00:00.0;11390.5596;9434.7129;8478.1533;956.5595;12144.7012;7130.249;3599.7068;3530.5422;4979.459;0.9806
2009-02-03T00:00:00.0/2009-02-04T00:00:00.0;11367.917;9452.7656;8575.7295;877.0355;12320.1553;7820.9761;4570.0645;3250.9119;6354.0669;0.9757
2009-02-04T00:00:00.0/2009-02-05T00:00:00.0;11344.6123;9251.665;8210.8662;1040.798;11683.2686;5441.6567;1506.5011;3935.1558;1627.1606;0.9812
2009-02-05T00:00:00.0/2009-02-06T00:00:00.0;11320.6455;9343.7158;8309.3174;1034.3977;11908.0762;8743.5254;7132.5527;1610.9728;9039.6406;0.9816
2009-02-06T00:00:00.0/2009-02-07T00:00:00.0;11296.043;9227.2656;8321.5771;905.6877;11924.8672;3076.8999;264.4043;2812.4956;681.435;0.9819
2009-02-07T00:00:00.0/2009-02-08T00:00:00.0;11270.7207;9075.2861;7722.4766;1352.8099;10828.1016;7434.2559;5045.1958;2389.0603;5850.8779;0.9826
2009-02-08T00:00:00.0/2009-02-09T00:00:00.0;11244.8398;8976.5244;7504.981;1471.5436;10541.1221;4683.7378;1102.3162;3581.4219;1321.2462;0.9826
2009-02-09T00:00:00.0/2009-02-10T00:00:00.0;11218.209;9100.2715;8238.1387;862.1332;11771.457;3574.6943;510.8086;3063.8857;642.3742;0.9833
2009-02-10T00:00:00.0/2009-02-11T00:00:00.0;11190.9961;9119.1299;7974.3921;1144.7377;11343.2363;6650.8125;4413.3599;2237.4526;5609.1538;0.9833
2009-02-11T00:00:00.0/2009-02-12T00:00:00.0;11163.0566;9075.5264;8194.2871;881.2395;11788.2344;6509.4429;2376.0601;4133.3828;2997.2622;0.984
2009-02-12T00:00:00.0/2009-02-13T00:00:00.0;11134.4189;9142.0811;8327.4033;814.6785;12035.4238;6752.0894;2830.3008;3921.7886;3416.2119;0.9847
2009-02-13T00:00:00.0/2009-02-14T00:00:00.0;11105.2539;9151.0518;8190.395;960.6567;11786.8994;8077.8369;6057.3848;2020.4524;7795.5264;0.9847
2009-02-14T00:00:00.0/2009-02-15T00:00:00.0;11075.3164;9121.4248;8453.168;668.2576;12284.8447;2959.6826;486.2015;2473.4812;554.5506;0.9854
2009-02-15T00:00:00.0/2009-02-16T00:00:00.0;11044.8154;9154.5293;8226.9199;927.6099;11843.7266;7143.8608;4023.386;3120.4749;4691.5737;0.9854
2009-02-16T00:00:00.0/2009-02-17T00:00:00.0;11013.5781;9070.9668;7930.7002;1140.267;11360.0176;6912.291;3666.4377;3245.8533;5255.0024;0.9861
2009-02-17T00:00:00.0/2009-02-18T00:00:00.0;10981.7217;9040.8564;8247.1904;793.6653;11961.1543;7512.478;4830.6172;2681.8608;6709.8296;0.9865
